index,text
109,Layer Cake ounce crème de cacao ounce apricot brandy ounce heavy cream Maraschino cherry
110,LemonBlueberry Cake White Chocolate Frosting cup cake flour teaspoon salt teaspoon bake powder teaspoon bake soda cup stick unsalted butter room temperature cups sugar cup fresh lemon juice teaspoon pack grated lemon peel large egg cup plus tablespoon buttermilk cup fresh blueberry ounce goodquality white chocolate Lindt Baker finely chop ounce cream cheese room temperature cup stick unsalted butter room temperature tablespoon fresh lemon juice additional blueberry optional Lemon slice optional Sift ingredient medium bowl electric mixer beat butter large bowl fluffy gradually add sugar beating blend scrape side bowl occasionally beat lemon juice peel egg time continue beat blend Beat dry ingredient addition alternately buttermilk addition fold berry transfer batter pan Bake cake tester insert center come clean minute cool cake pan rack stir white chocolate double boiler set barely simmer water melt Remove water stir smooth Cool lukewarm Beat cream cheese butter large bowl blend Beat lemon juice cool white chocolate Turn cake work surface Peel parchment Place cake layer flat platter Spread cup frost second cake layer flat Spread remain frost side cake Garnish additional blueberry lemon slice desire day ahead Cover cake dome refrigerate let stand room temperature hour serve
111,Lemon Blueberry IceCream Cake cup cake flour selfrise teaspoon bake powder teaspoon salt stick cup unsalted butter soften cup sugar large egg cup milk tablespoon finely grate fresh lemon zest tablespoon fresh lemon juice blueberry filling cup lemon ice cream garnish cup blueberry bowl sift flour baking powder salt large bowl electric mixer beat butter cup sugar light fluffy minute separate egg beat yolk time butter mixture beat addition batch alternately beat flour mixture milk beginning end flour mixture Add zest tablespoon lemon juice beat combine overbeat bowl clean beater beat white hold soft peak beat remain cup sugar Fold white batter gently thoroughly transfer batter cake pan bake middle oven tester come clean minute cool cake pan rack invert rack Cake prepare point day ahead keep airtight container cool room temperature long serrate knife horizontally halve cake half cut inch springform pan Brush tablespoon remain lemon juice layer Working quickly spread half blueberry fill evenly layer leave inch border edge ice cream spread evenly remain cake half cut ice cream brush remain tablespoon lemon juice spread remain blueberry fill evenly leave inch border edge spread half remain ice cream evenly fill Reserve remain ice cream outside cake freeze cake cover firm hour day remove springform pan spatula loosen cake transfer plate frost cake remain ice cream spread evenly side cake Freeze cake loosely cover hour day minute serve garnish cake blueberry cake refrigerator soften slightly
112,LemonBlueberry Poke Cake Nonstick vegetable oil spray cups allpurpose flour teaspoon bake powder teaspoon kosher salt tablespoon finely grate lemon zest cup sugar large egg room temperature cup vegetable oil teaspoon vanilla extract cup plain milk yogurt tablespoon fresh lemon juice cup sugar cup blueberry teaspoon unflavore powdered gelatin cup powder sugar tablespoon fresh lemon juice tablespoon blueberry teaspoon finely grate lemon zest x loaf pan preferably metal Whisk flour bake powder salt medium bowl whisk lemon zest sugar large bowl fragrant minute add egg oil vanilla whisk light color slightly thicken minute whisk half dry ingredient whisk yogurt Whisk remain dry ingredient add lemon juice whisk combine Scrape batter prepared pan smooth Bake cake rotate pan halfway golden brown tester insert center come clean – minute transfer pan wire rack let cool hour bring sugar cup water boil medium saucepan Add blueberry reduce simmer Smash blueberry spoon continue simmer minute sprinkle gelatin cup cold water small bowl let sit minute soften Strain blueberry mixture finemesh sieve medium bowl press blueberry spoon release juice Whisk cup blueberry syrup gelatin mixture stir dissolve pour gelatin mixture remain blueberry syrup stir combine Chill hour run knife side cool cake loosen parchment overhang transfer cake bake sheet cut board start end cake use dowel thin handle wooden spoon poke hole row space apart alternate hole row row hole Transfer chill blueberry fill pastry bag turkey baster squeeze bottle carefully squeeze fill hole Whisk powder sugar lemon juice Tbsp water medium bowl transfer cake wire rack set inside rimmed baking sheet Spread glaze cake spatula cover hole toss blueberry glaze bowl coat sprinkle blueberry lemon zest cake Chill fill glaze set hour Lemon cake day ahead cake bake fill glaze day ahead chill airtight container
113,Lemon Buttermilk Cake cup stick unsalted butter plus grease room temperature cups sugar cup allpurpose flour plus dust teaspoon bake soda teaspoon salt cup buttermilk tablespoon lemon zest tablespoon lemon juice large egg room temperature cup confectioner sugar plus need stand mixer fit paddle attachment combine butter sugar beat medium speed mixture smooth light texture minute butter beat sift flour bake soda salt set aside small bowl combine buttermilk lemon zest tablespoon lemon juice set aside add egg buttersugar mixture time beat scrape bowl addition addition alternate add sift dry ingredient wet ingredient buttersugar mixture stir low incorporate Pour batter prepared Bundt pan fill muffin cup twothird batter Bake center cake spring touch skewer insert near center come clean hour hour minute Bake cupcake rise dome shape spring lightly press fingertip minute remove cake oven let cool completely pan wire rack Release side cake pan narrow metal spatula knife Invert pan turn cake Place wire rack bake pan set cake right rack small bowl combine confectioner sugar remain tablespoon lemon juice tablespoon cold water stir smooth add little confectioner sugar water necessary achieve glaze consistency similar honey spoon glaze evenly cake glaze firm transfer cake plate Slice serve room temperature
114,Lemon Cornmeal Cake Lemon Glaze CrushedBlueberry Sauce cup pack powdered sugar sift tablespoon fresh lemon Juice cup purpose flour cup yellow cornmeal cup sugar teaspoon bake powder teaspoon salt cup buttermilk large egg tablespoon finely grated lemon peel teaspoon vanilla extract cup stick unsalted butter melt cool CrushedBlueberry Sauce Position rack center oven preheat ° F Butter inchdiameter cake pan inchhigh side line parchment Combine flour cornmeal sugar bake powder salt large bowl whisk blend whisk buttermilk egg lemon peel vanilla small bowl Pour buttermilk mixture melt butter flour mixture rubber spatula gently fold liquid flour mixture blend stir Scrape batter pan spread evenly Bake cake tester insert center come clean cake pull away side pan minute immediately run knife side cake Place rack atop cake pan oven mitt hold pan rack firmly invert cake rack Remove pan cake Place rack cake invert time cake stir glaze blend cake hot drop glaze tablespoonful cake spread inch edge glaze drip side cake Cool completely serve CrushedBlueberry Sauce
115,Lemon Cornmeal Cake Raspberry Filling cup frozen unsweetened raspberry thaw tablespoon sugar tablespoon cornstarch cup stick unsalted butter room temperature cup sugar large egg cups cake flour teaspoon bake powder teaspoon salt cup yellow cornmeal teaspoon grate lemon peel teaspoon lemon extract cup chill whip cream tablespoon sugar teaspoon lemon extract teaspoon grated lemon peel cup slice almond toast Preheat oven ° F lightly butter inchdiameter cake pan inchhigh side line parchment paper Butter parchment Dust pan flour shake excess electric mixer beat butter large bowl fluffy Add egg time beat addition Sift flour bake powder salt medium bowl Stir cornmeal add butter mixture beat blend Mix lemon peel extract transfer batter prepared pan Bake cake golden toothpick insert center come moist crumb attach minute transfer cake rack cool knife cut pan side loosen cake Turn cake Peel parchment beat cream sugar extract large bowl soft peak form Beat teaspoon lemon peel Set aside cup frost decoration serrate knife cut cake horizontally layer inchdiameter tart pan aid transfer layer platter spread half fill Spread cup frost fill second cake layer Spread remain fill Spread cup frost fill cake layer Spread side cake remain frost Press nut side cake Spoon reserve cup frost pastry bag fit medium star tip Pipe edge cake Sprinkle cake teaspoon lemon peel hour ahead Cover cake dome refrigerate let stand room temperature hour serve
116,Lemon Ginger Cake LemonCream Cheese Frosting cup sugar cup stick unsalted butter room temperature large egg tablespoon fresh lemon juice teaspoon grate lemon peel teaspoon vanilla extract cup cake flour tablespoon ground ginger teaspoon ground cinnamon teaspoon bake powder teaspoon bake soda teaspoon salt cups buttermilk ounce cream cheese room temperature cup stick unsalted butter room temperature tablespoon fresh lemon juice teaspoon grate lemon peel teaspoon vanilla extract cup powdered sugar sift Divide batter equally prepared pan Bake golden brown tester insert center cake come clean minute transfer pan racks Cool minute small sharp knife cut side pan loosen cake turn cake rack cool completely Peel wax paper prepare day ahead Wrap tightly plastic store room temperature electric mixer beat cream cheese butter lemon juice teaspoon lemon peel vanilla large bowl smooth Add powdered sugar beat frost smooth Place cake layer platter Spread cup frost Place remain cake layer atop ice spatula spread remain frost side cake decorative swirl Sprinkle cake remain teaspoon lemon peel prepared day ahead Cover cake dome refrigerate let cake stand room temperature minute serve
117,LemonGinger Cake Pistachios large egg large egg yolk cup fresh lemon juice cup stick unsalted butter diced cup sugar tablespoon pack finely grated lemon peel cup purpose flour cup sugar teaspoon ground ginger tablespoon bake powder teaspoon fine sea salt cup stick unsalted butter room temperature cup milk tablespoon pack finely grated lemon peel large egg white room temperature divide cup blackberry preserve cup water teaspoon unflavore gelatin large egg white room temperature tablespoon sugar White chocolate curl cup chop natural unsalted pistachio ounce tablespoon chop crystallize ginger ounce Place plastic wrap directly surface curd Refrigerate cold hour overnight day ahead refrigerate Position rack center oven preheat ° F lightly butter inchdiameter cake pan inchhigh side line pan parchment round Sift ingredient large bowl stand mixer fit whisk attachment Add butter milk lemon peel beat mediumhigh speed thick batter form minute add egg white beat smooth Add remain egg white beat blended smooth Divide batter prepared pan generous cup smooth top offset spatula Bake cake golden tester insert center come clean minute cool pan rack minute Turn cake rack remove parchment cool completely prepare day ahead Wrap foil store room temperature Cut dome top cake make cake inch high long serrate knife cut cake horizontally half Place cake layer separate cardboard round plate reserve fourth cake layer use Spread cup preserve cake layer Transfer cup curd large bowl reserve mousse Divide remain curd layer generous cup spread evenly preserve edge layer Refrigerate layer separately prepare mousse stack cake layer Pour cup water small saucepan sprinkle gelatin let stand gelatin soften minute Place saucepan low heat stir gelatin dissolve minute mixture lukewarm Stir gelatin reserve cup lemon curd electric mixer beat egg white tablespoon sugar large bowl stiff dry Fold egg white curd mixture addition set aside mousse begin set slightly minute Spoon lemon mousse scant cup atop layer spread gently edge offset spatula Chill layer mousse firm slightly minute place cake layer platter gently second careful press firmly Refrigerate hour prepare day ahead Cover cake dome refrigerate garnish edge cake white chocolate curl Sprinkle pistachio crystallize ginger center cake
118,LemonGinger Pound Cake tablespoon finely chop peel fresh ginger cup plus tablespoon granulate sugar cup allpurpose flour teaspoon bake powder teaspoon ground ginger teaspoon salt cup milk teaspoon vanilla stick cup unsalted butter soften tablespoon finely grate fresh lemon zest large egg tablespoon fresh lemon juice cup confectioner sugar tablespoon fresh lemon juice special equipment cup nonstick bundt kugelhopf loaf pan finely grind fresh ginger cup sugar food processor mixture wet Whisk flour bake powder ground ginger salt stir milk vanilla small bowl beat butter remain cup plus tablespoon sugar zest large bowl electric mixer fluffy Add egg time beat addition alternately add flour milk mixture butter egg batch begin flour mix low speed batch incorporate mix ginger sugar combine lemon juice Spoon batter pan smoothing bake middle oven golden brown tester insert center come clean minute hour loaf pan carefully loosen edge knife immediately invert cake rack cool completely gradually add confectioner sugar tablespoon lemon juice whisk smooth add juice drop time glaze thick Drizzle decoratively cake
119,LemonHoney Almond Cake cup honey cup water cup sugar cup fresh lemon juice cup almond cups sugar cup matzo cake meal cup matzo meal teaspoon ground cinnamon teaspoon ground allspice large egg cup vegetable oil tablespoon grated lemon peel Preheat oven ° F Oil x x inch metal bake pan finely grind almond cup sugar processor transfer medium bowl Whisk matzo cake meal matzo meal cinnamon allspice electric mixer beat egg remain cup sugar large bowl thick pale color minute Beat oil lemon peel Fold almond mixture transfer batter prepare pan Bake cake tester insert center come clean minute cut hot cake square leave pan Drizzle cool syrup let stand syrup absorb minute serve warm room temperature day ahead cool cover store room temperature
120,Lemon Layer Cake cup canola oil plus additional grease cake pan cups brownrice flour mix teaspoon salt tablespoon bake powder teaspoon xanthan gum cup milk teaspoon vanilla tablespoon finely grate fresh lemon zest cup granulate sugar large egg teaspoon finely grate fresh lemon zest cup fresh lemon juice cup plus tablespoon granulate sugar large egg yolk teaspoon guar gum stick cup unsalte butter cut tablespoon piece teaspoon lemon extract stick cup unsalted butter soften cup confectioners sugar cup fresh lemon juice teaspoon lemon extract teaspoon finely grate fresh lemon zest special equipment inch round cake pan whisk flour mix salt bake powder xanthan gum combine stir milk canola oil cup vanilla zest bowl beat sugar egg large bowl electric mixer medium speed combine minute reduce speed low add flour milk mixture alternately batch begin end flour mixture mix combine Divide batter evenly cake pan smooth top bake wooden pick skewer insert center cake layer come clean minute Cool cake layer pan rack minute run thin knife edge cake layer invert rack cake pan invert cake rack repeat second layer Peel paper cool layer completely whisk z lemon juice sugar yolk pinch salt guar gum quart heavy saucepan Add butter cook moderately low heat whisk constantly curd thick hold mark whisk bubble appear surface minute Whisk extract immediately pour curd bowl cover surface wax paper chill cold minute beat butter electric mixer high speed light fluffy minute reduce speed low add confectioner sugar lemon juice extract zest mix creamy smooth minute halve cake layer horizontally long serrate knife Spread half cake layer half lemon curd remain cake layer form sandwich cake sandwich cake cake stand platter spread heap cup frost cover remain sandwich cake Frost side cake remain frost
121,Lemon OliveOil Cake cup olive oil extravirgin desire plus additional grease pan large lemon cup cake flour selfrise large egg separate reserve white use cup plus tablespoon sugar special equipment inch cm springform pan parchment paper finely grate lemon zest measure teaspoon whisk flour Halve lemon squeeze reserve tablespoon fresh lemon juice Beat yolk cup sugar large bowl electric mixer high speed thick pale minute reduce speed medium add olive oil cup reserve lemon juice beat combine mixture appear separate wooden spoon stir flour mixture beat combine Beat egg white egg teaspoon salt large bowl clean beater mediumhigh speed foamy add cup sugar little time beating continue beat egg white hold soft peak minute gently fold white yolk mixture lighten fold remain white gently thoroughly transfer batter springform pan gently rap work surface twice release air bubble sprinkle evenly remain tablespoon sugar Bake puff golden wooden pick skewer insert center cake come clean minute cool cake pan rack minute run thin knife edge pan remove pan Cool cake room temperature hour remove pan peel parchment transfer cake serve plate
122,Lemon Orange Cake Cake Citron ou Cake Orange cups grams cake flour sift teaspoon doubleacte bake powder teaspoon salt cups grams sugar Grated zest lemon orange large egg room temperature cup gram crème fraîche homemade storebought heavy cream room temperature tablespoon gram dark rum lemon cake Grand Marnier orange cake tablespoon ounce gram unsalted butter melt cool Sift flour bake powder salt close hand toss sugar zest large bowl rub fingertip sugar moist aromatic whisk egg beat mixture pale foamy whisk crème fraîche rum Switch large rubber spatula gently stir sift flour mixture batter addition — batter thick smooth finally fold cool melted butter addition immediately spoon batter pan slide bake sheet oven Bake hour minute thin knife insert center cake come dry free crumb check cake minute mark brown quickly cover loosely foil tent remainder baking period remove cake oven allow cool minute cool rack turn pan invert cool room temperature right
123,LemonPistachio Crunch Cake large egg yolk cup sugar cup fresh lemon juice cup stick unsalted butter cut inch cube tablespoon pack grated lemon peel teaspoon salt cup sugar cup stick unsalted butter cup water teaspoon bake soda cup natural unsalted pistachio ounce cup chill whip cream divide ounce highquality white chocolate chop teaspoon salt cup cake flour teaspoon bake powder teaspoon salt cup stick unsalted butter room temperature cup sugar divide tablespoon vanilla extract teaspoon grated lemon peel cup milk large egg white place large sheet foil work surface butter foil Combine sugar butter cup water heavy medium saucepan Stir mediumlow heat sugar dissolve butter melt occasionally brush side pan wet pastry brush Increase heat mediumhigh boil syrup medium amber color stir constantly minute Remove heat immediately add bake soda mixture foam nut stir blend spread nut mixture prepared foil separate nuts Cool completely Chop crunch inch piece day ahead Store airtight room temperature Bring cup cream simmer heavy medium saucepan Remove heat Add chocolate salt stir smooth Transfer frost base bowl Cover chill overnight Preheat oven ° F Butter flour inchdiameter cake pan inchhigh side Sift flour bake powder salt medium bowl electric mixer beat butter large bowl fluffy gradually add cup sugar beat blend Beat vanilla lemon peel Beat flour mixture alternately milk addition clean dry beater beat egg white large bowl soft peak form gradually add remain cup sugar beating stiff dry fold white batter addition divide batter prepared pan Bake cake golden tester insert center come clean minute cool cake pan rack minute cut pan side turn cake rack Turn cake right cool completely day ahead Wrap foil store room temperature serrate knife cut mound top cake layer level Place cake layer platter trim Spread half lemon curd second cake layer trim Spread remain lemon curd cake layer trim whisk remain cup chill cream frost base loosen electric mixer beat frost hold stiff peak Spread frost side cake Chill frost firm hour day ahead Cover cake dome chill Press crunch lightly frost side edge cake prepared hour ahead refrigerate
124,Lemon Pudding Cake Cranberry Syrup cup allpurpose flour teaspoon salt cup sugar large egg separate cup milk finely grated zest large lemon tablespoon fresh lemon juice cup sugar cup fresh thaw frozen cranberry chop cup water Whisk flour salt cup sugar bowl Whisk yolk milk zest juice add dry ingredient whisk combine beat white large bowl electric mixer hold soft peak gradually add remain cup sugar beating continue beat white hold stiff glossy peak Whisk fourth white batter lighten fold remain white gently thoroughly batter thin Pour batter lightly oiled quart gratin shallow baking dish bake hot water bath puff golden minute Cook sugar dry quart heavy saucepan moderate heat undisturbed begin melt continue cook stir occasionally fork sugar melt turn deep golden caramel Tilt pan carefully add cranberry water caramel harden vigorously steam Simmer moderately low heat stir caramel completely dissolve pour syrup fine sieve heatproof bowl press hard solid Serve pudding cake syrup
125,Lemon Syrup Cake Berries LemonCurd Cream cup plus tablespoon sugar cup fresh lemon juice cup stick unsalted butter tablespoon grate lemon peel large eggs cup sugar cup fresh lemon juice cup stick unsalted butter room temperature cup sugar teaspoon grate lemon peel large egg cup selfrise flour cup crème fraîche plain yogurt cup slice hulled strawberry pound fresh mint sprig optional Combine sugar lemon juice small bowl Whisk sugar dissolve Preheat oven ° F Butter xxinch metal bake pan electric mixer beat butter large bowl smooth Add sugar lemon peel beat fluffy Beat egg half flour repeat transfer batter prepared bake pan Bake cake tester insert center come clean minute Place pan cake rack slender wooden skewer poke hole cake Spoon syrup cake addition allow syrup absorb time Cool cake completely day ahead cover let stand room temperature Whisk crème fraîche cup lemon curd small bowl blend Cover refrigerate ready use Cut cake square lemon crème fraîche spoon berry alongside Garnish mint desire
126,Lemon Tea Cake BlueberryRed Wine Sauce cup water cup sugar cup dry red wine tablespoon fresh lemon juice tablespoon cornstarch cup fresh blueberry teaspoon ground cinnamon teaspoon grind nutmeg Nonstick vegetable oil spray cup stick unsalted butter room temperature cup sugar large egg tablespoon grate lemon peel tablespoon fresh lemon juice teaspoon vanilla extract cup sift cake flour teaspoon bake powder teaspoon bake soda teaspoon salt cup sour cream Preheat oven ° F Spray inch square glass bake dish nonstick vegetable oil spray Line bake dish parchment paper Spray parchment vegetable oil spray Dust dish parchment flour Beat butter sugar large bowl fluffy Beat egg time Beat grated lemon peel lemon juice vanilla extract Sift cake flour baking powder baking soda salt medium bowl mix dry ingredient butter mixture alternately sour cream Pour batter prepared bake pan Bake tester insert center come clean minute cool cake rack minute Cut side cake turn rack Peel paper Turn cake Cool Sauce cake prepare day ahead Refrigerate sauce wrap cake aluminum foil store room temperature Cut cake triangle arrange plate spoon sauce
127,LemonWhiskey Bundt Cake ounce package yellow cake mix ounce package instant lemon pudding mix large egg cup milk use lowfat nonfat cup whiskey cup vegetable oil tablespoon grated lemon peel cup chop pecan teaspoon purpose flour cup sugar cup stick unsalted butter Stir cake mix pudding mix large bowl blend Beat egg milk cup whiskey oil lemon peel Mix nut flour small bowl mix batter Transfer prepared pan Bake cake tester insert near center come clean minute Set pan cake rack prepare glaze Stir sugar butter remain cup whiskey heavy small saucepan mediumlow heat butter melt sugar dissolve syrup bubble minute spoon hot syrup cake Cool cake completely pan Turn cake pan day ahead cover store airtight room temperature
128,Lime Angel Food Cake Lime Glaze Pistachios cup cake flour cup superfine sugar divide teaspoon salt large egg white room temperature teaspoon finely grate lime peel teaspoon vanilla extract teaspoon cream tartar cup sugar tablespoon fresh lime juice divide cup unsalte raw pistachio ounce finely chop processor cup powder sugar special equipment inchdiameter angel food cake pan inchhigh side removable use nonstick pan Bake cake pale golden tester insert near center come clean minute immediately invert cake work surface pan foot invert center tube pan neck bottle metal funnel cool cake completely long thin knife cut cake side center tube loosen Lift center tube cake attach run knife cake pan loosen Invert cake rack turn cake rounded set rack cake atop rim bake sheet Combine sugar tablespoon lime juice small saucepan stir medium heat sugar dissolve Brush syrup side cake immediately press pistachio side cake press adhere stir powdered sugar remain tablespoon lime juice small bowl smooth Drizzle glaze cake let stand glaze set minute AHEAD cake day ahead Cover cake dome store room temperature Transfer cake platter cut wedge serve
129,LowFat Lime Cake Nonstick vegetable oil spray cup purpose flour teaspoon bake powder teaspoon salt cup sugar tablespoon vegetable oil tablespoon stick unsalted butter room temperature large egg white tablespoon fresh lime juice tablespoon grated lime peel teaspoon vanilla extract cup lowfat buttermilk Bake cake golden brown tester insert center come clean minute transfer pan rack Cool cake pan rack minute Turn cake rack cool completely prepare day ahead Wrap tightly plastic store room temperature Cut slice
130,malt Milk Ice Cream Cake Blackberry Topping Nonstick vegetable oil spray cup cake flour teaspoon bake powder teaspoon salt cup sugar cup stick unsalted butter room temperature large egg teaspoon vanilla extract cup milk large egg yolk cup pack golden brown sugar cup malt milk powder tablespoon bourbon tablespoon vanilla extract cup whip cream cup milk cup plus tablespoon sugar cup water tablespoon sugar pint container blackberry divide Bake cake tester insert center come clean minute cool cake pan rack Remove pan side cut cake inchthick layer Reattach pan side leave cake layer pan Whisk ingredient large bowl blend Stir cream milk cup plus tablespoon sugar heavy large saucepan medium heat mixture come simmer gradually whisk hot cream mixture yolk mixture Return pan cook medium heat custard thicken coat spoon stir constantly minute boil Strain custard large bowl set pot ice water Cool hour stirring chill hour process custard ice cream maker accord manufacturer instruction spread ice cream cake pan Cover freeze firm hour day Stir cup water sugar heavy large saucepan add half berry bring boil Reduce heat simmer syrup thicken mash berry fork minute Pour medium bowl gently stir remain berry Cover chill cold hour day hot knife cut pan side loosen ice cream cake Remove pan side transfer cake platter spoon half berry top center cake Cut cake wedge serve pass remain top separately
131,Mandarin Chocolate Cake ounce semisweet chocolate chop cup stick unsalted butter cut piece room temperature cup sugar tablespoon grate orange peel large egg large egg yolk cup cake flour teaspoon generous ground ginger cup chop toast almond cup mince crystallize ginger cup whip cream tablespoon plus teaspoon Grand Marnier ounce semisweet chocolate mince orange thinly slice Scald whipping cream Grand Marnier liqueur heavy small saucepan Remove heat Add semisweet chocolate mix smooth Cool chocolate glaze thick spread Arrange cake flat rack Spread glaze evenly side cake Refrigerate glaze firm minute transfer cake serve platter Cake prepare day ahead Cover refrigerate Bring room temperature serve Cut orange slice half Twist place center cake Arrange remain orange slice edge platter serve
132,Mango Lime Chiffon Cake cup sugar cup fresh lime juice large egg yolk large egg teaspoon grate peel fresh ginger tablespoon stick chill unsalted butter cut inch cube ounce mango nectar cups cups sift cake flour sift measure tablespoon sugar teaspoon bake powder teaspoon salt large egg yolk cup canola oil tablespoon grate lime peel large egg white cup sugar tablespoon fresh lime juice cup chill whip cream large firm ripe mango peel pit cut inchthick slice Simmer mango nectar heavy medium saucepan medium heat reduce cup minute remove heat Cool mango syrup room temperature Position rack center oven preheat ° F Line inchdiameter cake pan inchhigh side parchment paper grease cake pan parchment paper Sift flour tablespoon sugar bake powder salt medium bowl whisk egg yolk canola oil lime peel tablespoon mango syrup large bowl blend reserve remain mango syrup glaze Add dry ingredient whisk blend electric mixer beat egg white large bowl soft peak form Add remaining tablespoon sugar tablespoon time beat stiff glossy Fold egg white yolk mixture fold remain white addition divide batter prepared pan Bake cake golden tester insert center come clean minute cool cake completely pan rack run small knife edge pan loosen cake carefully invert cake inchdiameter cardboard round tart pan bottom tap sharply work surface necessary release cake pan Peel parchment paper Boil sugar lime juice remain tablespoon mango syrup heavy small saucepan liquid reduce cup minute Chill glaze cold minute Place cake layer flat platter Spread cup limeginger curd cake reserve remain curd use Chill cake curd firm slightly hour second cake layer flat press gently adhere beat whip cream tablespoon glaze bowl firm peak form Spread cream side cake slightly overlap mango slice concentric circle atop cream Rewarm remain glaze soften Brush glaze mango slice Chill cake hour day ahead Cover cake dome chill Cut cake wedge serve
133,MangoBanana Cake cup purpose flour tablespoon cornstarch teaspoon bake powder teaspoon bake soda teaspoon salt teaspoon ground nutmeg cup stick unsalted butter room temperature large egg yolk cup sugar large egg cup sour cream teaspoon vanilla extract cup mash ripe banana Cream Cheese Frosting Mango Curd mango peel pit thinly slice fresh mint sprig Bake cake tester insert center come clean minute cool cake pan rack minute turn cake rack cool Place cake layer platter Spread cup Cream Cheese frost spread half Mango Curd frost second cake layer Spread cup Cream Cheese Frosting Spread remain half Mango Curd frost cake layer Spoon cup frost pastry bag fit large star tip Spread remain frost side cake Pipe frost edge cake Arrange mango slice edge cake garnish cake mint Cake day ahead cover chill let stand hour room temperature serve
134,MangoOrange Mousse Cake cup sift cake flour teaspoon bake powder large egg large egg yolk cup sugar tablespoon stick unsalted butter melt cup orange liqueur package unflavore gelatin pound large ripe mango peel pit chop cup sugar cup chill whip cream cup chill whip cream tablespoon powdered sugar teaspoon orange liqueur cups slice almond toast ripe mango peel pit slice Sift flour bake powder medium bowl electric mixer beat egg yolk large bowl frothy Gradually add cup sugar beat pale yellow slowly dissolve ribbon form beater lift minute fold flour mixture fold heap tablespoon batter melted butter Fold butter mixture batter Divide batter prepared pan Bake cake golden brown edge toothpick insert center come clean minute cool cake completely pan rack Pour liqueur small bowl sprinkle gelatin let gelatin soften minute puree mango processor measure puree return cup work bowl processor reserve remainder garnish Add sugar mango puree processor blend set bowl gelatin saucepan simmer water Stir gelatin dissolve add gelatin mixture mango processor blend Whip cream large bowl soft peak fold mango mixture Transfer cake layer inchdiameter springform pan inchhigh side Spread mango mousse cake Place second cake layer atop mousse Press lightly wrap tightly plastic refrigerate hour prepare day ahead Whip cream soft peak form Add sugar liqueur beat firm peak form Release pan side transfer cake platter Frost side cake whip cream mixture Press almond side garnish mango slice Brush mango reserve puree
135,Mango UpsideDown Cake lb firmripe mangoes peel stick cup unsalted butter cup pack light brown sugar cup allpurpose flour teaspoon bake powder teaspoon salt stick cup unsalted butter soften cup granulate sugar large egg separate teaspoon vanilla cup mango nectar Melt butter small heavy saucepan moderate heat stir brown sugar Simmer stirring butter incorporate minute spread mixture butter inch round bake pan arrange mango overlapping slice Preheat oven ° F Whisk flour baking powder salt Beat butter sugar large bowl electric mixer high speed light fluffy minute add egg yolk time beat addition Beat vanilla Add half flour mixture mix low speed combine Mix mango nectar add remain flour mixture mixing combine Beat egg white bowl clean beater hold stiff peak fold batter gently thoroughly gently spoon batter mango top spread evenly Bake middle oven golden brown tester come clean minute cool cake pan rack minute run thin knife inside edge pan invert plate pan invert cake plate Cool completely plate rack Serve cake room temperature
136,Maple Cake Maple Syrup Frosting cup purpose flour tablespoon bake powder teaspoon salt cup stick unsalted butter room temperature tablespoon nonhydrogenate solid vegetable shortening room temperature cup pure maple syrup preferably Grade B large egg yolk large egg cup milk cup walnuts toast coarsely chop cup powder sugar ounce package cream cheese room temperature cup stick unsalted butter room temperature tablespoon pure maple syrup preferably Grade B Toasted walnut half garnish special equipment inchdiameter cake pan inchhigh side Bake cake tester insert center come clean minute cool cake pan rack minute run small knife side cake loosen Invert cake rack remove parchment Cool cake completely sift powdered sugar medium bowl electric mixer beat cream cheese butter large bowl smooth Add powdered sugar maple syrup beat smooth overbeat frost soft serrate knife trim domed cake layer create flat surface Place cake layer trim platter Spoon cup frost dollop cake layer spread evenly edge second cake layer trim Spread remain frost evenly side cake Arrange walnut half edge cake ahead day ahead Cover cake dome chill Bring room temperature serve Cut cake wedge serve
137,Margarita Chiffon Cake cup cake flour cup sugar tablespoon bake powder teaspoon salt large egg yolk cup vegetable oil cup fresh lime juice cup triple sec tablespoon tequila teaspoon grate lime peel large egg white teaspoon cream tartar cup powder sugar tablespoon fresh lime juice tablespoon tequila teaspoon triple sec teaspoon grate lime peel Strawberry Compote Tequila Lime clean dry beater beat egg white cream tartar large bowl soft peak form gradually add cup sugar beating stiff dry Fold white batter fold remain white transfer batter ungreased inchdiameter angel food cake pan smooth Bake cake tester insert near center come clean hour immediately invert center tube pan narrownecke bottle cool cake completely pan Run long knife center tube side pan loosen cake center tube aid lift cake pan run knife cake pan loosen Invert cake platter stir ingredient medium bowl smooth Spread cake allow glaze drip side let stand glaze set hour day ahead Cover cake dome let stand room temperature Serve cake compote
138,Marsala Mascarpone Mousse Pound Cake Berries cup sugar cup plus tablespoon import sweet Marsala egg yolk cup ounce mascarpone cheese cup chill whip cream teaspoon vanilla extract teaspoon cinnamon xxinch strips purchase pound cake pint container raspberry whisk mascarpone loosen large bowl addition foldin zabaglione Whip cream vanilla cinnamon small bowl soft peak form fold zabaglione Sprinkle pound cake strip remain tablespoon Marsala Arrange strip goblet sprinkle raspberry cup mousse Sprinkle remain raspberry Cover chill hour overnight
