title,ingredients
Warm Chocolate Cake with Chocolate Almond Brittle,"['bittersweet  or semisweet chocolate, chopped', 'sliced almonds, toasted', 'bittersweet  or semisweet chocolate, chopped', ' unsalted butter, ', ' sugar', 'cornstarch', 'instant espresso powder', ' salt', ' eggs, ']"
Warm Pear and Walnut Cake with Lemon Custard Sauce,"[' sugar', 'egg yolks', 'half  half', 'grated lemon peel', 'fresh lemon juice', 'vanilla extract', ' sugar', 'water', 'Anjou pears, peeled, cored, cut into thin wedges', 'all purpose flour', 'baking powder', ' salt', ' sugar', ' unsalted butter, ', ' eggs', 'grated lemon peel', 'milk ', 'bry', 'finely chopped walnuts, toasted']"
Christmas Glazed Apple Cake (*Weihnachten Gedeckter Apfelkuchen*),"[', scooped  leveled, /all-purpose flour', '/granulated sugar, ', 'baking powder', 'Pinch of salt', '/unsalted high-fat, European-style butter, softened', ', ', 'apples ', 'Juice freshly squeezed lemon juice', 'Lebkuchen Spice Mix', 'fresh cranberries', '/water', '/confectioners’ sugar']"
White and Milk Chocolate Mousse Cake,"[' eggs', ' sugar', 'self-rising flour', 'unsweetened cocoa powder', 'baking powder', 'chilled whipping cream', 'white chocolate, chopped', 'milk chocolate, chopped', 'orange juice', 'orange liqueur', 'bittersweet  chocolate, chopped', 'water', 'instant espresso powder']"
"White Cake with Coconut, Pecan and Chocolate Chip Frosting","[' sugar', 'solid vegetable shortening', ' eggs', 'egg whites', 'whole milk', 'vanilla extract', 'self-rising flour', ' can evaporated milk', ' unsalted butter', ' sugar', 'egg yolks, beaten to blend', 'all purpose flour', 'vanilla extract', 'chopped pecans', 'flaked sweetened coconut', 'semisweet chocolate chips']"
White Chocolate and Lemon Wedding Cake,"[' sugar', 'cornstarch', 'fresh lemon juice', 'egg yolks', ' chilled unsalted butter, cut -inch cubes', 'imported white chocolate , finely chopped ', ' packages Philadelphia-br cream cheese, ', ' powdered sugar ', 'chilled heavy whipping cream', 'lemon curd ', 'imported white chocolate , finely chopped ', 'chilled heavy whipping cream', 'sifted cake flour', 'baking powder', ' salt', 'buttermilk', 'thawed frozen orange juice concentrate', 'vanilla extract', ' unsalted butter, ', ' sugar', 'vegetable oil', 'egg whites ', 'cream of tartar', '-inch-diameter tart-pan bottoms or cardboard rounds', '-inch-diameter tart-pan bottom or cardboard round ', '-inch-diameter tart-pan bottom or cardboard round ', '-inch-long, -inch-diameter wooden dowels', 'Mix of large  tiny white roses  fresias ', '-pint containers fresh strawberries, hulled, halved', '-pint containers fresh blackberries', '-pint containers fresh raspberries', '-pint containers fresh blueberries', ' sugar']"
White Chocolate Easter Cake with Strawberries,"['half  half', 'good-quality white chocolate , chopped', 'vanilla extract', 'unsalted pistachio nuts', 'all purpose flour', 'baking powder', ' unsalted butter, ', ' sugar', 'egg yolks', 'egg whites', '-pint baskets strawberries', ' package marzipan', 'powdered sugar', 'chilled whipping cream', 'Makes ', 'half  half', 'unsalted pistachio nuts', ' sugar', 'egg yolks', 'all purpose flour', 'vanilla extract', ' unsalted butter, ']"
White Chocolate Layer Cake with Apricot Filling and White Chocolate Buttercream,"['imported white chocolate, chopped', 'all purpose flour', 'baking powder', ' salt', 'unsalted butter, ', ' sugar', ' eggs', 'vanilla extract', 'whole milk', 'imported white chocolate, chopped', 'unsalted butter, ', 'vanilla extract', 'powdered sugar, sifted', 'water', ' sugar', 'apricots, pitted, ', 'walnuts, finely chopped', 'apricot preserves, melted']"
White Chocolate Truffle and Chocolate Fudge Layer Cake,"['bittersweet  or semisweet chocolate, chopped', 'solid vegetable shortening', 'Nonstick vegetable oil spray', 'unsweetened chocolate, chopped', 'all purpose flour', 'unsweetened cocoa powder', 'baking powder', 'baking soda', ' salt', ' sugar', ' unsalted butter, ', 'vanilla extract', ' eggs', 'whole milk', 'chilled whipping cream', ' unsalted butter, cut into pieces', 'good-quality white chocolate , finely chopped', 'vanilla extract', 'almond extract', 'amaretto or other almond liqueur']"
Yeasted Apple Coffee Cake,"['unsalted butter, melted, slightly cooled, plus more', ' envelope active dry yeast ', ' light brown sugar, ', 'egg, ', 'all-purpose flour, ', 'sour cream, ', 'finely grated orange zest', 'fresh orange juice', 'baking powder', 'kosher salt', 'all-purpose flour', 'old-fashioned oats', ' light brown sugar', 'granulated sugar', 'ground cinnamon', 'Kosher salt', 'unsalted butter, melted, slightly cooled', 'firm baking apples , halved, cored, very ', 'powdered sugar', ' fresh orange juice']"
Yellow Layer Cake with Chocolate-Sour Cream Frosting,"['Nonstick vegetable oil spray', 'cake flour', 'baking powder', 'baking soda', 'kosher salt', 'buttermilk', 'vegetable oil', 'vanilla extract', ' sugar', ' unsalted butter, ', ' light brown sugar', 'bean, split lengthwise', 'egg yolks', ' eggs', 'semisweet or bittersweet chocolate, chopped', 'light corn syrup', 'sour cream', 'kosher salt', 'vanilla extract', 'powdered sugar', ' unsalted butter, ', 'Special equipment: -diameter cake pans  sides']"
Yogurt Cake with Currant Raspberry Sauce,"['sifted cake flour ', 'baking powder', 'baking soda', ' salt', 'unsalted butter, softened', 'granulated sugar', 'pure vanilla extract', ' eggs, warmed in shell in warm ', 'well-stirred plain whole-milk yogurt  atroom ', 'fresh red currants , stemmed', 'fresh raspberries , ', 'granulated sugar room ', 'confectioners sugar', 'light corn syrup', 'heavy cream', 'pure vanilla extract', 'Equipment: - -inch cake pan']"
Zucchini and Parmesan Skillet Cake,"['medium zucchini', 'unsalted butter', 'clove, minced', 'chopped fresh basil', 'grated parmesan']"
Zucchini-Pecan Cake with Cream Cheese Frosting,"['Nonstick vegetable oil spray', 'all purpose flour', 'baking powder', 'coarse kosher salt', 'ground cinnamon', 'ground ginger', 'ground nutmeg', 'olive oil ', ' golden brown sugar', ' eggs', 'vanilla extract', 'coarsely grated zucchini ', 'chopped pecans', ' package Philadelphia br cream cheese , ', 'unsalted butter, ', 'powdered sugar', 'vanilla extract', 'ground cinnamon']"
Toasted Angel Food Cake with Caramelized Grapefruit,"[' cake flour', ' confectioners’ sugar', '. kosher salt', 'whites', ' superfine sugar', '. cream of tartar', '. vanilla extract', ' firmly packed light brown sugar', ', peeled  segmented, juices reserved']"
Bunny with Basket Cake,"['all-purpose flour', '. baking powder', '. salt', '.  unsalted butter', 'granulated sugar', '', '. vanilla extract', 'milk', confectioners' sugar, '.  unsalted butter', '. milk, plus more as needed', '. vanilla extract', '. salt']"
Caramel Crepe Cake,"['For the caramel:', ' granulated sugar', ' water', 'Pinch of salt', ' heavy cream', 'For the crepe batter:', '', ' milk', ' all-purpose flour', '. unsalted butter, melted', '. salt', '. vanilla extract', ' confectioners’ sugar', 'For finishing:', '. unsalted butter', 'Lightly sweetened whipped cream for garnish ', 'Fresh berries for garnish ']"
Coconut-Lime Cake,"['cake flour', '. baking powder', '. salt', 'milk', '. vanilla extract', '.  unsalted butter', ' sugar', '. finely chopped lime zest', '', 'whites', ' sugar', 'light corn syrup', '. salt', '. vanilla extract', 'sweetened shredded coconut']"
Lemon Beehive Cake,"['all-purpose flour', '. baking powder', '. salt', '.  unsalted butter', 'granulated sugar', '. lemon zest', ', lightly beaten', '. vanilla extract', 'milk', 'fresh lemon juice', 'honey', '. fresh lemon juice', '. salt', '.  unsalted butter', confectioners' sugar, sifted, '. milk', '. vanilla extract', 'Pinch of salt', confectioners' sugar, sifted, '. milk', 'Sugar honeybees for decorating ']"
Lemon Bunny Cake,"['.   unsalted butter, ', 'lemon Bundt cake mix', ', ', ' milk, ', '. unsalted butter, ', ' confectioners’ sugar, sifted', '. milk', '. vanilla extract', 'Pinch of salt', 'Royal icing for decorating or confectioners’ sugar for dusting']"
Lemon Pudding Cake,"['lemons', ' sugar', 'all-purpose flour', '. salt', '.  unsalted butter, melted', ', ', 'milk', '. cream of tartar', 'Whipped cream for serving ']"
Olive Oil-Almond Cake,"[' all-purpose flour', '. baking powder', '. salt', ' coarsely chopped blanched almonds', ' sugar', '', ' olive oil', '. minced orange zest', '. vanilla extract', 'orange, peeled  ', '. pomegranate seeds', '. honey']"
Three-Layer Carrot Cake with Cream Cheese Frosting,"[' unbleached all-purpose flour', '. baking soda', '. baking powder', '. ground cinnamon', '. kosher salt', '. ground allspice', '', ' . vegetable oil', ' granulated sugar', ' firmly packed brown sugar', ' buttermilk', '.  peeled  shredded carrots', ' toasted chopped walnuts', ' toasted flaked coconut, plus more for garnish', '.  cream cheese, ', '.   unsalted butter, ', ' confectioners’ sugar', '. vanilla extract']"
"A Gooey, Decadent Chocolate Cake","['cake flour', 'baking soda', ' salt', 'unsalted butter, ', 'granulated sugar', 'dark chocolate, melted  cooled', 'vanilla extract', '', 'cold water', 'Raspberry liqueur, such as Chambord, for drizzling', 'Nonstick cooking spray', 'Chocolate Chip Buttercream, recipe follows', 'Dark chocolate shavings, for decoration', 'powdered sugar', 'hot water', 'dark chocolate, melted  cooled', 'vanilla extract', 'unsalted butter, ', 'semisweet dark chocolate, finely chopped']"
Apple Spice Cake with Cream Cheese Icing,"['butter, plus extra for loaf pan', 'Smith apples, peeled  cored, cut -inch dice  tossed with a little lemon juice', ', juiced', 'apple cider', 'all-purpose flour, plus extra for loaf pan', 'ground cinnamon', 'baking soda', 'fresh nutmeg ', 'brown sugar', ' sugar', 'Pinch kosher salt', '', 'vanilla extract', 'toasted  chopped walnuts', 'golden raisins', 'Cream Cheese Icing, recipe follows', ' package cream cheese, ', 'butter, ', 'powdered sugar', 'vanilla extract', ', juiced']"
Banana Pudding Cake,"[' package yellow cake mix', ' package instant banana pudding mix', '', 'water', 'vegetable oil', 'mashed bananas', confectioners' sugar, 'milk', 'vanilla extract', 'chopped walnuts ']"
Basic Vanilla Cake,"['unsalted butter, , plus more for the pans', 'all-purpose flour, plus more for the pans', 'baking powder', ' salt', ' sugar', ' eggs, ', 'vanilla extract', 'whole milk ']"
Beatty's Chocolate Cake,"['Butter, for greasing the pans', 'all-purpose flour, plus more for pans', ' sugar', 'good cocoa powder', 'baking soda', 'baking powder', 'kosher salt', 'buttermilk, shaken', 'vegetable oil', ' eggs, ', 'pure vanilla extract', 'freshly brewed hot coffee', 'Chocolate Buttercream Frosting, recipe follows', 'good semisweet chocolate ', ' unsalted butter, ', ' egg yolk, ', 'pure vanilla extract', sifted confectioners' sugar, 'instant coffee powder']"
Birthday Cake White Chocolate Fudge,"['marshmallows ', ' sugar', 'heavy cream', 'unsalted butter', 'Pinch kosher salt', 'white chocolate chips ', 'pure vanilla extract', 'multicolored nonpareils']"
Blueberry Cake Doughnuts,"['Nonstick cooking spray', 'butter, softened', ' sugar', 'Pinch of kosher salt', 'pure vanilla extract', 'cake flour', 'all-purpose flour', 'baking soda', 'baking powder', ' eggs, yolk', ' frozen blueberries, thawed', 'buttermilk', 'Basic Sugar Glaze, recipe follows', 'powdered sugar', 'milk', 'Pinch of kosher salt', 'pure vanilla extract']"
Blueberry Coffee Cake Muffins,"[' unsalted butter, ', ' sugar', ' eggs, ', 'pure vanilla extract', ' sour cream', 'milk', 'all-purpose flour', 'baking powder', 'baking soda', 'kosher salt', '-pints fresh blueberries, picked through for stems']"
Butterscotch Love Cake,"['unsalted butter', 'light brown sugar', 'heavy cream', 'vanilla extract', 'Nonstick cooking spray', 'yellow cake mix', 'ricotta cheese', 'mascarpone', ' eggs', ' sugar', 'kosher salt', 'mascarpone ', '. package butterscotch pudding mix', ' sugar', 'whole milk']"
Carrot Cake Cupcakes,"[' sugar', 'vegetable oil', 'pure vanilla extract', ' eggs', 'all-purpose flour', 'ground cinnamon', 'baking soda', 'kosher salt', 'grated carrots ', 'raisins', 'chopped walnuts', 'cream cheese, ', 'unsalted butter, ', 'pure vanilla extract', confectioners' sugar]"
Carrot Cake Recipe,"['granulated sugar', 'vegetable oil', 'whole eggs', 'pastry flour', 'baking soda', ' salt', 'ground cinnamon', 'raw finely ground carrots', 'finely chopped walnuts', 'powdered sugar', ' cream cheese', 'vanilla extract', ' margarine']"
Carrot Cake,"['Unsalted butter, for the pan', ', , all-purpose flour, plus extra for pan', 'grated carrots, medium grate, ', 'baking powder', 'baking soda', 'ground allspice', 'ground cinnamon', 'freshly ground nutmeg', ' salt', ' sugar, ', 'dark brown sugar, firmly packed', ' eggs', 'plain yogurt', 'vegetable oil', 'Cream Cheese Frosting, recipe follows']"
Carrot Cake with Cream Cheese Frosting,"['Cooking spray', 'pecan halves', 'all-purpose flour', 'baking powder', 'cinnamon', 'freshly grated nutmeg', 'Kosher salt', ' eggs', 'granulated sugar', 'vegetable oil', 'finely grated carrots ', 'pure vanilla extract', 'cream cheese, cut into cubes, ', 'unsalted butter, cut into cubes, ', confectioners' sugar, 'pure vanilla extract', 'Kosher salt', 'heavy cream, cold']"
Chocolate Cake in a Mug,"['all-purpose flour', 'brown sugar', 'cocoa powder', 'hot cocoa mix', ', beaten', 'chocolate milk', 'vegetable oil', 'chocolate chips ', 'vanilla extract']"
Chocolate Chip Cookie Icebox Cake,"['all-purpose flour', ' salt', 'baking soda', ' unsalted butter, ', 'packed light brown sugar', 'granulated sugar', 'vanilla extract', ' eggs, ', 'semisweet mini chocolate chips', 'heavy cream', confectioners' sugar]"
Chocolate Cracked Earth (Flourless Chocolate Cake),"['bittersweet chocolate, chopped into small pieces', 'unsalted butter*', ' eggs, ', 'granulated sugar, ', 'heavy cream, cold', Confectioners' sugar, for dusting]"
Chocolate Fudge Cake with Vanilla Buttercream Frosting and Chocolate Ganache Glaze,"['packed brown sugar', 'canola oil', '', 'flour', 'baking powder', 'baking soda', ' salt', 'vanilla extract', 'milk', 'water', 'cocoa powder', 'sweet butter, soft', 'sifted powdered sugar', 'vanilla extract', ' salt', 'semisweet chocolate chips', 'light corn syrup', 'heavy cream']"
Chocolate Orange Cake,"['unsalted butter, softened', 'unsweetened cocoa powder', 'all-purpose flour', 'granulated sugar', 'baking soda', ' salt', 'ground cinnamon', 'freshly squeezed orange juice, finely grated zest', 'mayonnaise', 'balsamic vinegar', 'vanilla extract', confectioners' sugar, 'unsweetened cocoa powder', 'freshly squeezed orange juice']"
Chocolate Pound Cake,"['all-purpose flour', 'Dutch-processed cocoa powder', ' salt', ' eggs, ', 'large yolks, ', 'pure vanilla extract', 'instant espresso powder', 'unsalted butter , ', ' sugar', 'bittersweet chocolate, roughly chopped', 'bittersweet or semisweet chocolate, finely chopped', 'unsalted butter ', 'honey']"
Chocolate-Zucchini Cake,"['Unsalted butter, for the pan', 'all-purpose flour, plus more for the pan', 'semisweet chocolate chips', 'unsweetened cocoa powder ', 'kosher salt', 'baking soda', 'ground nutmeg or allspice', ' sugar', 'extra-virgin olive oil', ' eggs', 'vanilla extract', 'zucchini, grated  squeezed dry', 'honey']"
Coconut Cake,"['', ' sugar', 'fluid flex* ', 'coconut milk', 'cake flour', 'baking powder', ' salt', 'coconut rum', 'coconut flakes', 'Swiss Meringue Buttercream, recipe follows', 'egg whites ', 'granulated sugar', 'shortening', 'unsalted butter , cut into chunks']"
David's Favorite Carrot Cake with Pineapple Cream Cheese Frosting,"['butter', 'granulated sugar', 'canola oil', 'light brown sugar', ' eggs, lightly beaten', 'unbleached all-purpose flour', 'shredded carrots', 'shredded coconut', 'chopped walnuts, plus more for garnish', 'ground cinnamon', 'almond extract', 'baking powder', ' salt', ' can pineapple rings, drained   chopped -inch pieces', 'cream cheese, ', confectioners' sugar, 'unsalted butter, ', 'reserved pineapple juice from the canned pineapple']"
Decadent Chocolate Cake,"['all-purpose flour', ' sugar', 'baking powder', 'baking soda', 'cardamom', 'fine salt', 'unsweetened Dutch-process cocoa powder', 'instant espresso powder', 'boiling water', 'vanilla extract', 'low-fat  Greek-style yogurt', 'low-fat milk', 'canola oil', 'egg', 'egg white', 'currants, soaked in hot water , drained', 'chopped semisweet or bittersweet chocolate', Confectioners' sugar for dusting]"
Flourless Chocolate Cake,"['semisweet or bittersweet chocolate, chopped', ' unsalted butter', 'fine salt', ' eggs, ', 'granulated sugar', Confectioners' sugar /or cocoa powder, for dusting, 'Serving suggestion: Really Vanilly Whipped Cream, recipe follows, or ice cream', ' heavy or whipping cream', 'pure vanilla paste or extract', confectioners' sugar]"
Fluffy Confetti Birthday Cake,"[' unsalted butter, , plus more for the pans', 'all-purpose flour, plus more for the pans ', 'baking powder', 'fine salt', 'granulated sugar', 'vegetable oil', ' eggs, ', 'pure vanilla extract', 'milk', 'rainbow sprinkles or jimmies, plus more for decorating', ' unsalted butter, ', 'Pinch fine salt', confectioners' sugar, 'pure vanilla extract', 'milk']"
German Chocolate Cake,"['Cake:', 'Duncan Hines® Moist Deluxe® Swiss Chocolate Cake Mix', ' eggs', 'water', 'vegetable oil', 'chopped pecans', 'Frosting:', 'granulated sugar', 'evaporated milk', 'egg yolks', 'butter or margarine', 'flaked coconut', 'chopped pecans', 'vanilla extract']"
Gooey Chocolate Pudding Cake,"['granulated sugar', 'all-purpose flour', 'cocoa powder', 'baking powder', 'fine sea salt', 'milk', 'butter, melted', 'vanilla extract', 'granulated sugar', 'packed light brown sugar', 'cocoa powder', 'hot water', 'Mint chocolate chip ice cream, for serving']"
Gooey Gooey Cake,"['Nonstick cooking spray or butter, for preparing the baking pan', '. box classic yellow cake mix', ' unsalted butter, melted', ' eggs, ', confectioners' sugar, plus more for garnish, ' package cream cheese, ', 'vanilla extract', 'Pinch of salt', ' eggs, ']"
Ice Cream Layer Cake,"['cake', 'vanilla ice cream, slightly softened', 'peanut butter cup cies, roughly chopped', 'chocolate ice cream, slightly softened', 'chocolate cies, such as M  Ms, roughly chopped', 'chocolate chip ice cream, slightly softened', Chocolate shell ice cream sauce , such as Smucker's Magic Shell, for covering the top]"
Individual Blueberry-Coconut Pound Cake Muffins,"[' unsalted butter, softened', ' sugar', 'freshly grated lime zest', ' eggs', 'heavy cream', 'all-purpose flour', ' salt', 'sweetened flaked coconut', 'blueberries']"
Instant Chocolate Cake,[]
King Cake Cheesecake,"['graham cracker crumbs', ' unsalted butter, melted', ' packages cream cheese, softened', ' sugar', ' eggs egg yolks', 'eggnog', 'vanilla extract', 'cinnamon', 'Purple food coloring, as needed', 'Yellow food coloring, as needed', 'Green food coloring, as needed', 'Whipped cream, for garnish', 'Chocolate curls, for garnish']"
Lemon Cake,"[' unsalted butter, ', 'granulated sugar, ', ' eggs, ', 'grated lemon zest ', 'flour', 'baking powder', 'baking soda', 'kosher salt', 'freshly squeezed lemon juice, ', 'buttermilk, ', 'pure vanilla extract', confectioners' sugar, sifted, 'freshly squeezed lemon juice']"
Lemon-Lime Pound Cake,"['granulated sugar', ' unsalted butter', '', 'all-purpose flour', ' salt', 'lemon-lime soda, such -Up', 'lemon zest', 'lime zest', 'Nonstick baking spray, for spraying pan', 'powdered sugar, sifted', 'lemon zest, dried for at , plus more for sprinkling', 'lemon juice', 'lime zest, dried for at , plus more for sprinkling', 'lime juice', ' salt', 'heavy cream', 'granulated sugar', 'Blackberries, for serving']"
Lemon Pound Cake,"['all-purpose flour', 'baking powder', ' salt', ' butter, softened ', ' sugar, ', '', 'pure vanilla extract', 'lemon juice, ']"
Lemon Pudding Cake with Raspberry Coulis,"['all-purpose flour', ' salt', ' sugar', ' eggs, ', '-percent milk', 'lemon, zested', 'fresh lemon juice', ' package frozen raspberries in syrup', ' sugar', 'fresh lemon juice, or to taste']"
Light Carrot Cake,"['Nonstick cooking spray', 'all-purpose flour', 'whole wheat pastry flour', 'baking powder', 'ground cinnamon', 'baking soda', 'allspice', 'ground ginger', 'Fine salt', ' eggs', 'white', 'packed light brown sugar', 'granulated sugar', 'canned crushed pineapple in fruit juice', 'vegetable oil', 'carrots, peeled  grated ', 'Light Cream Cheese Frosting, recipe follows', 'reduced-fat cream cheese, ', 'powdered sugar', 'fresh lemon zest']"
Love Cake,"['Vegetable spray, for greasing baking pan', 'All-purpose flour, for dusting baking pan', ' eggs', 'vegetable oil', 'pure vanilla extract', 'water', 'fudge marble cake mix ', 'cocoa powder', 'whole milk ricotta cheese', 'granulated sugar', 'vanilla extract', 'chocolate chips', 'instant chocolate pudding', 'cold whole milk', 'prepared whipped cream']"
Meyer Lemon-Cranberry Bundt Cake,"['unsalted butter, cubed  , plus more for the pan', 'cake flour, sifted, plus more for the pan', 'bag fresh or frozen cranberries, thawed if frozen', 'granulated sugar', 'whole milk', ' eggs, yolks', 'vanilla extract', 'finely grated Meyer lemon zest', 'baking powder', ' salt', 'granulated sugar', 'Meyer lemon juice', confectioners' sugar]"
Microwave Chocolate Pudding Cake,"['Nonstick cooking spray', 'all-purpose flour', 'packed light brown sugar', 'unsweetened cocoa powder ', 'baking soda', 'Kosher salt', 'buttermilk', 'vegetable oil', 'pure vanilla extract', 'Vanilla ice cream, for serving']"
Mocha Chocolate Icebox Cake,"['cold heavy cream', 'Italian mascarpone cheese', ' sugar', 'coffee liqueur, such as Kahlua', 'unsweetened cocoa powder, such as Pernigotti', 'instant espresso powder', 'pure vanilla extract',  packages chocolate chip cookies, such as Tate's Bake Shop, 'Shaved semisweet chocolate, for garnish']"
Old-Fashioned Banana Cake,"['ripe bananas, mashed', 'granulated sugar', 'light brown sugar, lightly packed', 'vegetable oil', ' eggs, ', 'sour cream', 'pure vanilla extract', 'Grated zest ', 'all-purpose flour', 'baking soda', 'kosher salt', 'coarsely chopped walnuts ', 'Cream Cheese Frosting, recipe follows', 'Walnut halves, for decorating ', 'cream cheese, ', ' unsalted butter, ', 'pure vanilla extract', sifted confectioners' sugar ]"
Orange Pound Cake,"[' unsalted butter, ', 'granulated sugar, ', ' eggs, ', 'grated orange zest ', 'all-purpose flour', 'baking powder', 'baking soda', 'kosher salt', 'freshly squeezed orange juice, ', 'buttermilk, ', 'pure vanilla extract', confectioners' sugar, sifted, 'freshly squeezed orange juice']"
Popcorn Cake,"['microwave kettle popcorn', ' unsalted butter, plus more for greasing the pan', 'marshmallows', 'cy coated chocolate']"
Red Velvet Cake,"['Cake:', 'shortening', 'white sugar', '', 'cocoa', 'red food coloring', ' salt', 'vanilla extract', 'buttermilk', 'sifted all-purpose flour', 'baking soda', 'distilled white vinegar', 'Icing:', 'all-purpose flour', 'milk', 'white sugar', 'butter, ', 'vanilla extract']"
Red Velvet Sheet Cake with Classic Red Velvet Frosting,"['Nonstick baking spray', 'cake flour', ' salt', 'buttermilk', 'vanilla extract', 'baking soda', ' eggs', 'vinegar', 'cocoa powder', 'ounces red food coloring', 'shortening', 'granulated sugar', 'whole milk', 'all-purpose flour', 'vanilla extract', 'unsalted butter', 'granulated sugar', 'raspberries']"
Rum Cake - Semi-Homemaker Recipe,"['pecan pieces, ', ' eggs', 'water', 'canola oil', 'gold rum, Bacardi', ' box classic yellow cake mix ', ' small box sugar-free instant vanilla pudding mix ', 'granulated sugar', 'water', 'butter', 'gold rum ']"
Sicilian Love Cake,"['chocolate cake mix, plus the ingredients called for in the directions', 'Canola oil, for preparing the pan', 'ricotta cheese ', 'mascarpone ', ' eggs', ' sugar', 'kosher salt', 'mascarpone ', 'whole milk', '. box instant chocolate pudding mix', ' sugar']"
Sigrid's Carrot Cake,"['granulated sugar', 'vegetable oil', ' eggs', 'all-purpose flour, plus more for dusting', 'baking powder', 'baking soda', 'ground cinnamon', ' salt', 'grated carrots', 'Butter, for greasing', 'butter, softened', ' cream cheese, softened', 'powdered sugar', 'vanilla extract', 'pecans, chopped finely']"
Sour Cream Coffee Cake,"[' unsalted butter ', 'granulated sugar', ' eggs ', 'pure vanilla extract', 'sour cream', 'cake flour ', 'baking powder', 'baking soda', 'kosher salt', 'light brown sugar, packed', 'all-purpose flour', 'ground cinnamon', 'kosher salt', 'cold unsalted butter, cut into pieces', 'chopped walnuts, optional', confectioners' sugar, 'real maple syrup']"
Southern Red Velvet Cake,"['Vegetable oil for the pans', 'all-purpose flour', ' sugar', 'baking soda', 'fine salt', 'cocoa powder', 'vegetable oil', 'buttermilk, ', ' eggs, ', 'red food coloring ', 'white distilled vinegar', 'vanilla extract', 'Cream Cheese Frosting, recipe follows', 'Crushed pecans, for garnish', 'cream cheese, softened', sifted confectioners' sugar, 'unsalted butter , softened', 'vanilla extract']"
Strawberry Country Cake,"[' unsalted butter, ', ' sugar', ' eggs, ', 'sour cream, ', 'grated lemon zest', 'grated orange zest', 'pure vanilla extract', 'all-purpose flour', 'cornstarch', 'kosher salt', 'baking soda', ' heavy cream, chilled', ' sugar', 'pure vanilla extract', 'fresh strawberries, hulled  sliced']"
Strawberry Shortcake Cake,"['unsalted butter, softened, plus more for greasing', 'all-purpose flour, plus more for dusting', 'cornstarch', 'baking soda', ' salt', 'granulated sugar', 'large eggs', 'sour cream, ', 'vanilla extract', 'strawberries, plus more to garnish, optional', 'powdered sugar, sifted', 'cream cheese, ', 'unsalted butter, softened', 'vanilla extract', 'Dash salt']"
Sunny's German Chocolate Cake Cookies,"['butter, softened', 'light brown sugar', 'granulated sugar', 'vanilla extract', ' eggs, beaten', 'all-purpose flour', unsweetened cocoa, such as Hershey's, 'baking soda', 'Pinch salt', 'semisweet chocolate chips', shredded sweetened coconut, such as Baker's Angel Flake Coconut, 'chopped pecans']"
Texas Sheet Cake with Chocolate Ganache,"[' unsalted butter, plus more for the pan', 'self-rising flour, plus more for the pan', ' sugar', ' eggs, beaten', 'sour cream', 'almond extract', 'semisweet chocolate chips', 'heavy cream', 'light corn syrup']"
Three-Layer Carrot Cake,"['all-purpose flour, sifted after measuring', ' salt', 'baking soda', 'ground Ceylon cinnamon', 'cocoa powder', 'light brown sugar', 'granulated sugar', 'peanut oil', '', 'vanilla extract', 'finely grated carrots', 'pecans, chopped, not too finely', 'Frosting, recipe follows', ' unsalted butter, chilled  cut -inch pieces', 'cream cheese, chilled', confectioners' sugar, sifted, 'vanilla', 'chopped pecans']"
Tres Leche Cake,"['Vegetable oil', 'cake flour, plus extra for pan', 'baking powder', 'kosher salt', 'unsalted butter, ', ' sugar', ' eggs', 'vanilla extract', ' can evaporated milk', ' can sweetened condensed milk', 'half--half', 'heavy cream', ' sugar', 'vanilla extract']"
Tres Leches Cake,"['Nonstick cooking spray, for the cake pan', 'all-purpose flour, plus more for dusting the cake pan', 'baking powder', ' eggs, ', ' sugar', 'whole milk', ' can sweetened condensed milk', ' can evaporated milk', 'heavy cream, ', 'orange liqueur ', 'powdered sugar', 'ground cinnamon']"
1-2-3 Cherry Poke Cake,"[' loaf frozen pound cake, thawed', 'boiling water', ' package JELL-O Cherry Flavor Gelatin', 'cold water', BAKER'S Semi-Sweet Chocolate, 'thawed COOL WHIP Whipped Topping, ', 'cherry pie filling, ']"
10-Minute Chocolate Mug Cake,"['white sugar', 'all-purpose flour', 'milk', 'olive oil', 'unsweetened cocoa powder', '', 'pure vanilla extract', ' salt']"
3 Milk Cake or Tres Leches,"[', ', 'white sugar', 'all-purpose flour', 'milk', 'butter, melted', 'vanilla extract', 'baking powder', ' can sweetened condensed milk', ' can evaporated milk', 'half--half', ' package cream cheese, softened', 'vanilla extract', 'heavy whipping cream']"
4-Layer Chocolate Strawberry Cake,"[ packages devil's food cake mix , 'water', '', 'vegetable oil', ' cans prepared chocolate frosting', ' container whipped cream topping, or more to taste', ' package ripe strawberries, sliced']"
5-Minute Microwave Nutella® Cake,"['self-rising flour', 'white sugar', '', 'vegetable oil', 'milk', 'unsweetened cocoa powder, or more to taste', 'chocolate-hazelnut spread , or more to taste', ' salt', 'vanilla extract']"
7 Up® Cake,"['Cake:', 'white sugar', 'butter, softened', '', 'all-purpose flour, sifted', 'lemon extract', 'lemon-lime carbonated beverage ', 'Glaze:', sifted confectioners' sugar, 'milk', 'vanilla extract']"
A Memorial Day Carrot Cake,"['almond flour', 'celtic sea salt', 'ground cinnamon', 'baking soda', 'ground nutmeg', '', 'agave nectar', 'grapeseed oil', 'grated carrots', 'raisins', 'walnuts']"
