0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
   package chocolate cake mix,   package instant chocolate pudding mix, vegetable oil, milk,eggs,confectioners ' sugar, milk, shortening, butter,vanilla extract,allpurpose flour,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,baking soda,pinch salt,ground allspice,ground cinnamon,ground nutmeg, white sugar, vegetable oil,eggs, milk, dark rum, black walnuts,butter, water,white sugar, fluid dark rum,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 shortening, white sugar, cake flour, salt,egg whites,vanilla extract,buttermilk,baking powder, buttermilk, baking soda,almond extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,baking powder,salt, ground cinnamon, ground allspice, nutmeg, butter,softened, white sugar,maple syrup,eggs,cream of tartar, milk,apple ,cored,and,confectioners ' sugar for dusting,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour, brown sugar,baking powder,ground cinnamon, ground allspice, pumpkin puree, whole milk,egg,vanilla extract, brown sugar, butter,melted,ground cinnamon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
avocados ,pitted and pureed,eggs,beaten,  container lemon flavored yogurt,  package shredded Mexicanstyle cheese,selfrising corn meal mix,white sugar,ground cinnamon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MUSSELMAN'S Apple Butter, baking mix  like Bisquick , milk, sugar,egg,butter,melted, sweetened flaked coconut, pecans,, sugar,butter,melted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
carrots,allpurpose flour,white sugar,baking soda,baking powder, salt,ground cinnamon,eggs, vegetable oil, vanilla extract,  can pineapple with juice, pecans, confectioners ' sugar,  package Neufchatel cheese, butter,softened, vanilla extract,pecans,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,white sugar,pineapple,eggs,baking soda,pinch salt,white sugar,  can evaporated milk, butter,sweetened flaked coconut,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs, white sugar,white sugar, allpurpose flour,allpurpose flour,ground walnuts,baking powder,Cream Filling ,butter, white sugar,or to taste,egg yolk,cocoa powder,or more to taste,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,white sugar, vegetable oil,allpurpose flour,baking soda,salt,ground cinnamon,   jar carrot baby food,   jar apricot baby food,   jar applesauce baby food,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package moist yellow cake mix, white sugar,vegetable oil,eggs,  jar apricot baby food,  jar plum baby food, walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,white sugar, vegetable oil,allpurpose flour,baking soda,salt,   jar applesauce baby food,   jar carrot baby food,   jar apricot baby food,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 white sugar,eggs, vegetable oil,  jars plum baby food,allpurpose flour,baking powder,ground cinnamon, ground cloves,walnuts, applesauce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   bars Baby Ruth  candy bars,,crunchy peanut butter,evaporated milk,allpurpose flour,baking soda, baking powder, butter,softened, white sugar,eggs, vanilla extract,buttermilk,   bars Baby Ruth  candy bars,,egg yolks,evaporated milk,white sugar, butter,flaked coconut, peanuts,heavy whipping cream,egg white, sifted confectioners ' sugar, vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,white sugar, allpurpose flour, unsweetened cocoa, salt,butter,melted,vanilla extract,pecans,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package glutinous sweet rice flour,shredded coconut, white sugar,baking powder, milk, oil,eggs,beaten,vanilla extract,  can sweetened red bean paste,shredded coconut,or to taste,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 egg whites, cream of tartar, baking powder,vanilla extract, ground cinnamon, rolled oats,ripe bananas,mashed,cake flour,confectioners ' sugar, salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour, baking soda, baking powder, salt, butter,softened,egg,beaten,turbinado sugar, mashed overripe bananas,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package butter pecan cake mix, water, vegetable oil,eggs,bananas,mashed, pecans, toffee baking bits, butter,brown sugar, milk,confectioners ' sugar,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 shortening,packed brown sugar,eggs,mashed bananas,allpurpose flour,baking powder, baking soda, salt, ground cloves, pecans,sifted confectioners ' sugar,butter,melted, vanilla extract,milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cake flour,baking powder, baking soda, unsalted butter, white sugar, salt,eggs, mashed bananas,buttermilk,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, white sugar,eggs,vanilla extract, sour milk,mashed bananas, allpurpose flour, salt, baking soda,baking powder,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar,allpurpose flour,baking soda, water,mashed bananas,pinch salt,mayonnaise,  package cream cheese,butter,softened,confectioners ' sugar,vanilla extract, walnuts  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, selfrising flour,ripe bananas,mashed,milk, white sugar,eggs,separated, walnuts, banana extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 sifted cake flour, white sugar, baking powder, baking soda, salt, shortening,eggs,vanilla extract,bananas,mashed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 white sugar, butter,eggs,beaten,baking soda, sour cream,mashed bananas, cake flour,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, white sugar,eggs,vanilla extract,allpurpose flour, baking soda, salt, buttermilk,lemon juice, mashed bananas, butter,softened,  package cream cheese,softened, confectioners ' sugar,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,softened,white sugar,eggs,egg white,milk,vanilla extract, mashed bananas, allpurpose flour, baking powder, baking soda, salt, ground allspice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 margarine, white sugar,eggs,vanilla extract,ripe bananas,mashed,allpurpose flour,baking powder,baking soda, sour cream,semisweet chocolate chips, peanuts, brown sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lemon juice, milk,very ripe bananas,mashed,   package butter cake mix,baking soda, butter,softened,eggs,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour, white sugar,divided, baking powder,salt,eggs,separated,divided, water, vegetable oil,vanilla extract, cream of tartar,bananas,mashed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ripe bananas,mashed,egg,coconut sugar,almond butter,unsweetened cocoa powder, vanilla extract,baking soda, ground cinnamon, sea salt,blanched almond flour, tapioca flour, chocolate chips,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour, white sugar, baking powder, salt,mashed bananas,egg, unsalted butter,melted, milk, semisweet chocolate chips,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
raw cashews,almonds,pecans,Medjool dates,pitted,coconut oil,melted,cocoa powder, salt,banana,coarsely,ground cinnamon,ground nutmeg,vanilla extract, coconut oil,melted, vegan dark chocolate, coconut milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
superfine sugar, butter,melted,eggs,beaten,baking soda, sour cream,mashed ripe banana, cake flour,baking powder,vanilla extract,Topping ,pecans,brown sugar,or more to taste,ground cinnamon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 rolled oats, packed brown sugar,butter,melted,walnuts, shortening, white sugar,mashed banana,eggs,vanilla extract,oat flour, allpurpose flour,baking soda,salt, walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cooking spray,   jar caramel topping,divided,Cake ,   package spice cake mix,eggs, vegetable oil, water,mashed banana, almond extract,Flan ,   can sweetened condensed milk,  fluid  can evaporated milk,eggs, milk,  package cream cheese,softened,almond extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,softened, white sugar,egg yolks,baking soda, buttermilk,allpurpose flour,ripe bananas,mashed,pecans,egg whites, white sugar, packed brown sugar,evaporated milk, butter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,white sugar, butter,softened,vanilla extract,baking soda, baking powder,egg,very ripe bananas,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,   package instant banana pudding mix, mashed banana,eggs,water, vegetable oil, walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake ,allpurpose flour, baking soda, salt, margarine, white sugar,eggs,vanilla extract, eggnog, mashed bananas,Frosting , butter,softened,  package cream cheese,softened,vanilla extract,confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,baking soda,buttermilk, butter, white sugar,vanilla extract, allpurpose flour,ripe bananas,mashed,pecans,Icing,butter,softened,confectioners ' sugar,heavy whipping cream, pecan halves,or to taste  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Banana Nut Coconut Cake , white sugar, butter,softened,eggs,ripe bananas,mashed,allpurpose flour,baking soda, buttermilk,vanilla extract,pecans,shredded coconut,Banana Nut Frosting , butter,softened,confectioners ' sugar,ripe banana,mashed,pecans,shredded coconut,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 milk, vinegar,white sugar, vegetable oil, brown sugar, butter,melted, baking soda, baking powder, oats,allpurpose flour,mashed bananas,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,softened, packed brown sugar,eggs,mashed bananas,vanilla extract, allpurpose flour, rolled oats, salt,baking soda, rolled oats, packed brown sugar,butter,melted,walnuts, ground cinnamon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour, baking powder, baking soda,salt,butter, vegetable shortening,brown sugar,white sugar,ripe bananas,mashed,eggs,vanilla extract, milk,pecans, butter, brown sugar, white sugar,vanilla extract, heavy cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,   package instant banana pudding mix,eggs,water, vegetable oil, mashed bananas,confectioners ' sugar,milk,dash vanilla extract, walnuts  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   box yellow cake mix  such as Duncan Hines ,water, vegetable oil,eggs,cold milk,   packages instant banana pudding mix,  container frozen whipped topping  such as Cool Whip ,thawed,vanilla wafer crumbs  such as Nilla ,or to taste,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,white sugar,baking soda,ground cinnamon,salt,bananas,corn oil, vanilla extract,eggs,raisins, water, walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix, baking soda, dark rum, water,eggs,mashed bananas, pecans, butter,softened,confectioners ' sugar,vanilla extract,dark rum,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake ,ripe bananas,mashed,eggs, vegetable oil, water, banana liqueur, rum,   package yellow cake mix,  package instant vanilla pudding mix,,white sugar, butter, water, banana liqueur, rum,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar,butter,eggs, buttermilk,mashed bananas,vanilla extract,allpurpose flour,quick cooking oats, baking soda,salt, walnuts, flaked coconut,semisweet chocolate chips,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
graham cracker crumbs, melted butter,confectioners ' sugar,eggs,butter,softened,bananas,and halved lengthwise,   can pineapple,drained,quart fresh strawberries,halved,   package frozen whipped topping,thawed,walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package vanilla wafers,,margarine,melted,   can pineapple,drained,bananas,  package cream cheese,confectioners ' sugar,   container frozen whipped topping,thawed, walnuts,maraschino cherries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,   packages instant vanilla pudding mix,  package cream cheese, milk,ripe bananas,  cans pineapple,drained,   package frozen whipped topping,thawed,  jar maraschino cherries,drained, walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
graham cracker crumbs, butter,melted,  package cream cheese, butter,softened,confectioners ' sugar,bananas,   can pineapple,drained,quart strawberries,stemmed and quartered, sugar free strawberry,   container lite frozen whipped topping,thawed,   jar maraschino cherries,drained and quartered,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour, margarine,softened, pecans,eggs,confectioners ' sugar,bananas,   can pineapple,drained,fresh strawberries,   container frozen whipped topping,thawed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cornflakes cereal crumbs, margarine,softened,eggs,vanilla extract,margarine,confectioners ' sugar,banana,   cans pineapple,drained,   container frozen whipped topping,thawed,walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sweet potato,and into chunks, allpurpose flour,white sugar,baking powder,eggs,vanilla extract, butter, pumpkin seeds, brown sugar,ripe bananas,mashed, golden raisins  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,melted, brown sugar, pecans,bananas,,   package banana cake mix,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, packed brown sugar,water,egg,   package white cake mix,walnuts,semisweet chocolate chips,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 white sugar,butter, baking powder,allpurpose flour,eggs,vanilla extract,almond extract,milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter, shortening,white sugar,eggs,lemon extract,vanilla extract,allpurpose flour,milk, confectioners ' sugar,fresh lemon juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,   packages vanilla frosting,drop red food coloring,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,white sugar,butter,softened,vegetable oil, unsweetened cocoa powder, buttermilk,vanilla extract, allpurpose flour, baking powder, baking soda, salt,boiling water,semisweet chocolate chips, butter,softened,confectioners ' sugar, unsweetened cocoa powder,vanilla extract,milk,strong brewed coffee,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
egg whites,egg yolk, allpurpose flour,baking powder, baking soda, milk,vanilla extract, butter, white sugar, confectioners ' sugar, brown sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 vegetable oil,eggs,sour cream,   package white cake mix,   package instant vanilla pudding mix,finely fresh basil, balsamic vinegar, white sugar,fresh strawberries,hulled and quartered,fresh mint,or to taste,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 milk, white sugar, white sugar,allpurpose flour,eggs,vanilla extract, allpurpose flour, baking powder, white sugar,eggs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,softened,white sugar,eggs, vanilla extract,allpurpose flour,baking powder, salt,drops red food coloring,apricot preserves,ground almonds,confectioners ' sugar,egg,, lemon juice, almond extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake ,white sugar, vegetable oil,eggs,vanilla extract,allpurpose flour,baking soda,salt,flaked coconut,shredded carrots,drained fruit cocktail,walnuts,Frosting ,  package cream cheese,softened,margarine,or more to taste,vanilla extract,confectioners ' sugar,walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour, salt,baking powder, superfine sugar, milk, orange juice, vegetable oil,eggs,beaten, orange zest,butter,softened,confectioners ' sugar,orange juice,vanilla extract,orange zest,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, white sugar,orange zest,egg yolks,selfrising flour, fresh orange juice,egg whites,pinch salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   packages active dry yeast, warm water, unsalted butter,softened, white sugar,eggs,,egg yolks, salt, warm milk,vanilla extract, sour cream,,allpurpose flour,unsalted butter,melted, packed light brown sugar,unsalted butter, heavy whipping cream, honey, lemon juice, almonds,pastry cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,active dry yeast,white sugar,pinch salt, lukewarm milk,butter,butter, confectioners ' sugar,milk, almonds,honey  optional , milk, cornstarch,white sugar,egg,beaten,almond extract,heavy whipping cream, cream of tartar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake , milk,butter,allpurpose flour, white sugar,   package active dry yeast,egg,Topping , almonds,white sugar,butter,milk,Filling , milk,   package instant vanilla pudding mix,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,   package instant vanilla pudding mix,beer, vegetable oil,eggs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,eggs,allpurpose flour,salt, buttermilk,cherries,pitted and halved,white sugar,  squares unsweetened chocolate,melted,baking soda,beer, cherry juice,walnuts, butter,egg,  squares unsweetened chocolate,melted,sifted confectioners ' sugar,milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,baking powder,ground cloves,ground cinnamon,ground allspice, baking soda, salt, butter or margarine,softened,brown sugar,egg,beaten,beer,walnuts  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,brown sugar, raisins,shredded coconut, wheat germ, wheat bran,ground cinnamon,baking soda,pinch salt, vegetable oil,eggs,beaten,carrots,   can beets,drained and mashed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lemon juice,beets,boiled and, allpurpose flour,salt,baking soda,white sugar, unsweetened cocoa powder, melted butter,eggs,beaten,honey, milk,vanilla extract,cream,cream cheese,vanilla extract,pinch salt,confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, white sugar,egg, vanilla extract, allpurpose flour, salt,baking powder, milk,allpurpose flour,butter,white sugar, ground cinnamon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 yellow cornmeal, allpurpose flour, white sugar,baking powder,salt,eggs,   can sweetened condensed milk, milk, canola oil,vanilla extract, fresh blueberries, fresh raspberries, fresh strawberries, fresh blackberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour, white sugar, baking powder, baking soda, salt,egg, reducedfat plain yogurt,butter,melted,vanilla extract,brown sugar,fresh or frozen raspberries,slivered almonds,, confectioners ' sugar,fat free milk, vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
